"sno","state","category","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
23,"Dadra & Nagar Haveli",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8888888888889,17.3807692307692,0,0,0,0,0,0,0
24,"Dadra & Nagar Haveli",3,0,0,0,0,0,6.35714285714286,3.9,6.74166666666667,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Daman & Diu",1,0,0,9.6,5.25,5.83636363636364,9.28333333333333,8.86666666666667,5.69166666666667,4.1,0,0,0,0,0,0,0,0,0,0,0,19.2,17.7057692307692,18.8373134328358,17.65625,19.6117117117117,20.1473684210526,0,0,24.9545454545455
26,"Daman & Diu",2,0,0,6.98235294117647,4.0375,4.98636363636364,6.81176470588235,7.95714285714286,7.15,0,0,0,0,0,0,0,0,0,0,0,0,17.6625,16.4254901960784,0,0,0,0,0,0,0
27,"Daman & Diu",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Delhi",1,19.2375,11.05,0,24.8438596491228,29.8389830508475,32.6705882352941,31.1927272727273,36.8304347826087,38.1283333333333,33.7677966101695,34.4583333333333,32.8966101694915,33.3933333333333,36.855,32.8264150943396,32.4695652173913,37.4398907103825,0,43.5325791855204,43.2661290322581,51.3726415094339,60.98,47.1143459915612,0,60.2073170731707,79.8020833333333,87.925,72.1544715447154,69.52
29,"Delhi",2,17.625,9.21111111111111,0,32.4365853658537,37.9586956521739,29.63,33.5325,46.4051282051282,58.0895833333333,47.1847826086956,33.4645833333333,34.8260869565217,38.7708333333333,43.7916666666667,46.1434782608696,39.7541666666667,44.1721068249258,0,51.304296875,47.1425474254742,47.159585492228,55.3823404255319,50.9327623126338,0,57.1530612244898,82.625,90.4921465968586,59.0807453416149,64.6255060728745
30,"Delhi",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Goa",1,11.3,15.7166666666667,12.5727272727273,9.55,7.70833333333333,4.13636363636364,0,0,0,0,0,0,0,0,0,0,0,10.2607142857143,2.98076923076923,6.68028846153846,11.2839805825243,14.7333333333333,11.9262626262626,17.4729064039409,18.6235294117647,19.8529411764706,11.4198717948718,7.50746268656716,10.4015151515152
32,"Goa",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4796116504854,4.14411764705882,8.49333333333333,10.8207920792079,16.74,14.5314285714286,15.8571428571429,16.0026007802341,15.1142857142857,11.515813253012,7.5609756097561,9.16379955123411
33,"Goa",3,6.83333333333333,15.0333333333333,0,0,0,0,32.8,16.975,30.1,24.3083333333333,26.0166666666667,26.8666666666667,21.48,29.1416666666667,32.9454545454545,37.775,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"Gujarat",1,31.3928571428571,32.0457142857143,34.0704225352113,27.379347826087,25.54625,38.7703703703704,21.5969696969697,19.8230769230769,19.3154761904762,18.4475,17.2076923076923,24.3833333333333,54.1222222222222,35.475,46.65,34.85,0,28.9920506634499,31.0220385674931,28.9310030395137,29.1858363858364,25.1223978919631,26.7325791855203,25.9401947148818,28.8153846153846,29.9201388888889,20.2979400749064,20.4719422310359,21.3338192419825
35,"Gujarat",2,24.5837209302326,32.3086206896552,26.2415584415584,22.4960784313726,23.0647727272727,37.4103448275862,20.4326732673267,18.872,21.125,18.4754716981132,18.2755555555556,36.8166666666667,41.5760869565218,25.3541666666667,35.7333333333333,28.2952380952381,0,26.6493269230769,25.079822616408,23.299558985667,22.5050541516246,21.0434567901234,22.251635111876,21.3223207091056,22.8622656886716,24.2172995780591,17.8577235772358,19.9218559218559,20.0708860759494
36,"Gujarat",3,0,0,0,0,29.1153846153846,22.78,23.4333333333333,29.0864864864865,36.45,26.7791666666667,20.3433333333333,17.1333333333333,24.22,19.6541666666667,17.8818181818182,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"Haryana",1,12.525,12.7083333333333,11.7818181818182,10.3833333333333,9.24615384615385,4.93636363636364,8.54166666666667,16.7714285714286,18.3772727272727,16.99375,16.7117647058824,18.0909090909091,5.46666666666667,9.80769230769231,13.5958333333333,21.6291666666667,0,23.0413173652695,24.6407407407407,25.0272,27.5702702702703,28.3621621621622,22.6317073170732,29.5878378378378,42.2896551724138,35.7927927927928,29.1964285714286,26.141592920354,83.2647058823529
38,"Haryana",2,19.8714285714286,11.0333333333333,11.91,10.0166666666667,8.3,9.76666666666667,13.2666666666667,13.5,13.0083333333333,12.3333333333333,0,0,12.0666666666667,11.0333333333333,15.1416666666667,26.85,0,21.3275,8.22291666666667,8.80959409594097,4.98212290502793,4.99160305343511,0,19.7633928571429,20.671186440678,22.9666666666667,22.7017543859649,22.5575221238938,64.8181818181818
39,"Haryana",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"Himachal Pradesh",1,0,0,0,11.3931034482759,23.2970588235294,14.8483870967742,0,0,7.78,11.5222222222222,9.70294117647059,7.90285714285714,9.87777777777778,8.23888888888889,10.6777777777778,10.7861111111111,0,10.6584507042254,11.8541795665635,13.8837939698492,11.7494833524684,10.7195342820181,14.3982288828338,17.2225969645868,13.0486555697823,13.3535825545171,13.0721419975933,14.0338733431517,11.7147950089127
41,"Himachal Pradesh",2,0,6.34166666666667,17.8636363636364,15.7913043478261,22.8958333333333,13.7142857142857,0,0,9.00975609756098,12.0958333333333,13.4891304347826,11.7809523809524,8.82916666666666,6.36875,15.03125,17.4104166666667,0,13.9299450549451,15.4544871794872,15.9091240875912,12.0365411436541,11.755098934551,12.5122641509434,13.2571115973742,10.5815649867374,10.7786952931462,12.5997862767154,13.6827380952381,12.2373431522331
42,"Himachal Pradesh",3,0,5.03333333333333,15.3454545454545,18.1833333333333,13.1833333333333,10.71,0,0,9.07,8.09166666666667,9.85,5.78333333333333,5.63333333333333,4.475,10.0583333333333,14.9666666666667,0,10.9533333333333,1.10652173913043,5.04016393442623,5.06802721088436,4.02056737588652,5.18148148148148,8.85611510791367,7.71653543307087,8.65942028985507,8.39078014184397,9.77049180327869,10.1447208995
43,"Jammu & Kashmir",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7433333333333,18.3469387755102,11.8421052631579,14.0845070422535,6.04878048780488,13.6724137931034,17.8539325842697
44,"Jammu & Kashmir",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6430769230769,13.1818181818182,11.5909090909091,10.531914893617,3.84276729559748,12.1544715447154,15.9125683060109
45,"Jammu & Kashmir",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"Jharkhand",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.7711075949367,50.185294117647,52.4739130434782,50.0791237113402,46.5744680851064,43.9475920679887,38.5058857142857,39.4860335195531,42.2420382165605,38.6898395721925,36.2764976958525,37.2022471910112
47,"Jharkhand",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.6066666666667,45.802,55.95,45.729797979798,36.3485,32.2126050420168,39.1259541984733,35.4257425742574,37.1088082901554,37.6961358973846,34.6206896551724,37.9774436090226
48,"Jharkhand",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
