"sno","state","category","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
26,"Daman & Diu",2,0,0,87.5882352941177,100.583333333333,95.0454545454545,108.176470588235,99,123,0,0,0,0,0,0,0,0,0,0,0,0,178,178.225490196078,0,0,0,0,0,0,0
27,"Daman & Diu",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Delhi",1,590.6875,163.357142857143,0,362.912280701754,353.779661016949,367.588235294118,0,433,406.366666666667,423.220338983051,337.55,375.796610169492,355.333333333333,359.183333333333,326.11320754717,293.586956521739,342.92349726776,281.856209150327,362.93665158371,421.41935483871,431.679245283019,475.628571428571,504.105485232068,0,0,0,0,0,0
29,"Delhi",2,465.25,116.111111111111,0,375.390243902439,431.217391304348,453.55,0,439.051282051282,372.916666666667,364.913043478261,351,381.195652173913,373.833333333333,373.083333333333,391.565217391304,375.1875,352.548961424332,312.254125412541,321.29296875,394.065040650407,347.300518134715,402.412765957447,472.773019271949,0,0,0,0,0,0
30,"Delhi",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Goa",1,104.111111111111,163,144.454545454545,125.666666666667,114.25,55.6363636363636,0,0,0,0,0,0,0,0,0,0,0,156.092857142857,165.884615384615,122.918269230769,121.354368932039,155.111111111111,160.858585858586,0,0,0,15.5942307692308,0,0
32,"Goa",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.543689320388,104.823529411765,97.2,105.326732673267,180.4,141.314285714286,0,31.5064239271782,0,18.0334487951807,0,0
33,"Goa",3,57.3333333333333,90.3333333333333,0,0,0,0,0,0,231,192.833333333333,125,169.083333333333,248.6,91.0833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"Gujarat",1,203.321428571429,214.8,267.478873239437,233.336956521739,266.2,222.12962962963,6.03030303030303,391.217948717949,348.857142857143,333.2,272.153846153846,284.333333333333,288.37037037037,409.416666666667,381.083333333333,290.805555555556,0,225.010036188178,282.179063360882,239.95896656535,241.216117216117,229.884057971014,226.149321266968,0,0,0,32.0374531835206,0,0
35,"Gujarat",2,277,298.655172413793,304.233766233766,240.21568627451,296.795454545455,220.528735632184,3.87128712871287,365.68,265.166666666667,242.141509433962,246.533333333333,333.833333333333,301.369565217391,384.625,347.25,219.190476190476,0,154.442115384615,201.677383592018,169.025358324146,169.691335740072,164.535802469136,173.046471600688,0,0,0,26.5579268292683,0,0
36,"Gujarat",3,0,0,0,0,273.923076923077,172.3,0,93.8108108108108,128.038461538462,165.5,145.066666666667,159.541666666667,234.1,81.5,0,68.2058823529412,0.0615384615384615,0,0,0,0,0,0,0,0,0,0,0,0
37,"Haryana",1,325.75,312.416666666667,277,305.5,236,61.1818181818182,0,51.5,176.545454545455,233.6875,234.705882352941,301.818181818182,241.833333333333,270.076923076923,302.541666666667,409.666666666667,0,241.101796407186,343.607407407407,306.968,159.918918918919,276.891891891892,247.731707317073,126.885135135135,0,0,0,0,0
38,"Haryana",2,198,283.916666666667,267.2,313.333333333333,354,287.083333333333,81.0833333333333,297.083333333333,302.083333333333,297.166666666667,0,0,435,403.666666666667,334.416666666667,474.166666666667,0,251.325,249.586805555556,248.125461254613,149.608938547486,131.129770992366,0,0,0,0,0,0,0
39,"Haryana",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"Himachal Pradesh",1,0,0,0,216.068965517241,232.735294117647,225.516129032258,0,0,210.666666666667,238.694444444444,128.088235294118,190.4,183.888888888889,181.944444444444,0,157.055555555556,0,327.461267605634,272.114551083591,359.456030150754,292.994259471871,260.385510996119,216.089918256131,0,0,0,0,0,0
41,"Himachal Pradesh",2,303.75,344.5,333.727272727273,208.260869565217,211.5,204.857142857143,0,0,230.19512195122,145.9375,84.6304347826087,165.02380952381,174.979166666667,127.375,0,113.791666666667,0,159.75,133.358974358974,155.339416058394,121.089260808926,134.007610350076,142.617924528302,0,0,0,0,0,0
42,"Himachal Pradesh",3,151.5,185.75,184.272727272727,156.916666666667,104.333333333333,87.3,0,0,117.2,100.083333333333,40.5833333333333,66.5833333333333,56,15.25,0,0,0,47.8733333333333,50.2608695652174,88.0901639344262,84.3673469387755,85.1063829787234,117.844444444444,0,0,0,0,0,0
43,"Jammu & Kashmir",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.466666666667,0,0,0,0,0,0
44,"Jammu & Kashmir",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.030769230769,0,0,0,0,0,0
45,"Jammu & Kashmir",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"Jharkhand",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.518987341772,296.970588235294,277.269565217391,237.262886597938,246.960486322188,326.473087818697,78.9464952380953,0,0,0,0,0
47,"Jharkhand",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.114583333333,221.97,222.3125,257.313131313131,259.15,316.025210084034,0,0,0,0,0,0
48,"Jharkhand",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"Karnataka",1,89.5789473684211,102.2,129.314814814815,127.189655172414,103.976744186047,86.5714285714286,6.70833333333333,105.208333333333,44.5,112.764705882353,130.347826086957,111.1875,116.108695652174,109.255319148936,94.4772727272727,54.3125,0,120.217391304348,106.907375643225,159.262865090403,171.201307189542,182.755154639175,172.582466567608,0,0,0,0,0,0
50,"Karnataka",2,39.4444444444444,99.6,107.454545454545,70.0909090909091,76.8333333333333,0,0,0,0,194.25,224.75,242.583333333333,190.5,209,209.166666666667,137.583333333333,0,136.80276816609,246.044871794872,170.305676855895,194.841240875912,210.045634920635,236.218884120172,0,0,0,0,0,0
51,"Karnataka",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.30303030303,126.425742574257,176.9125,198.880952380952,204.278846153846,175.070588235294,0,0,0,0,0,0
52,"Kerala",1,0,95.9411764705882,125.18,136.462962962963,114.776315789474,113.035714285714,0.305084745762712,107,87.7666666666667,85.4827586206897,87.5666666666667,179.758620689655,115.875,98.7777777777778,159.55223880597,128.352941176471,0,0,106.389175257732,112.698587127159,84.6631299734748,87.6850507982583,85.9915611814346,33.3933453897115,20.2593632958801,0,0,0,0
53,"Kerala",2,0,0,0,57.5833333333333,116.722222222222,172.722222222222,0,114.25,108.138888888889,101.611111111111,90.2222222222222,78.9142857142857,128.333333333333,77.6944444444444,116.055555555556,65.5833333333333,0,0,79.7167070217918,77.1655948553055,75.1973684210526,72.0944700460829,64.9014830508475,24.9468272170917,27.5623565416985,0,0,0,0
54,"Kerala",3,0,102.777777777778,140,0,111.386363636364,97.4237288135593,0,110.216666666667,131.050847457627,145.233333333333,120.949152542373,125.05,115.553571428571,29.6296296296296,27.7586206896552,34.95,0,0,0,0,0,0,0,59.1161257714815,0,0,0,0,0
55,"Lakshadweep",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"Lakshadweep",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"Lakshadweep",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"Madhya Pradesh",1,0,140.4,239.65,271.678571428571,253.115384615385,171.415094339623,0,0,314.6,290.702127659574,210.666666666667,293.042553191489,294.4,194.521739130435,0,0,0,203.459302325581,202.793269230769,212.894871794872,205.759916492693,264.233644859813,233.772511848341,271.981925925926,171.75,0,54.5114285714286,0,0
59,"Madhya Pradesh",2,0,296.875,249.448275862069,276.603773584906,252.50505050505,161.802325581395,4.62121212121212,0,299.882352941176,273.121951219512,186.916666666667,255.578313253012,273.382352941176,148.21686746988,41.4545454545455,42.8375,0,146.997867803838,163.953846153846,175.048780487805,207.070588235294,208.985507246377,211.970958373669,240.260668604874,120.48,0,12.5573593073593,0,0
60,"Madhya Pradesh",3,0,0,0,0,0,196.060606060606,17,0,315,265.85,176.833333333333,231.472222222222,269.333333333333,135.722222222222,165.083333333333,244.527777777778,0,0,0,128.133333333333,214.105263157895,151.390804597701,105.71875,145.71186440678,199,0,0,0,0
