"sno","state","category","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
28,"Delhi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.016393442623,132.413202614379,168.067873303167,168.086021505376,169.301886792453,225.375510204082,219.590717299578,0,237.581300813008,268.4375,291.7375,262.406504065041,250.176
29,"Delhi",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.6765578635015,130.805709570957,115.18359375,140.487804878049,148.430051813471,199.802127659574,253.027837259101,0,209.497959183673,220.979166666667,201.602094240838,188.20082815735,198.101214574899
30,"Delhi",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Goa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0142857142857,47,50.4519230769231,50.2330097087379,89.7222222222222,69.8080808080808,58.3546798029557,65.3176470588235,78.9705882352941,54.2403846153846,58.5522388059701,62.1944444444444
32,"Goa",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116504854368932,27.3137254901961,48.6095238095238,49.9009900990099,101.7,75.2571428571429,84.7238095238095,100.643693107932,81.3714285714286,52.8923192771084,50.7560975609756,53.2737471952132
33,"Goa",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"Gujarat",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.664234016888,147.150137741047,133.275075987842,113.715506715507,105.072463768116,107.907993966818,104.411682892907,102.798601398601,110.112256944444,96.1011235955056,89.6723107570916,88.0714285714286
35,"Gujarat",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.001298076923,109.191796008869,100.169790518192,82.5342960288809,76.9341563786008,82.8691910499139,79.2207896857373,79.8378158109209,85.710970464135,80.4563008130081,85.3736263736264,84.8303797468354
36,"Gujarat",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"Haryana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.77245508982,157.911111111111,150.552,90.9189189189189,284.513513513513,228,204.533783783784,186.262068965517,169.831981981982,192.035714285714,167.566371681416,0
38,"Haryana",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.008333333333,111.739583333333,144.09594095941,91.6759776536313,74.2824427480916,0,133.196428571429,122.633898305085,153.394444444444,189.245614035088,189.203539823009,104.590909090909
39,"Haryana",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"Himachal Pradesh",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.9359296482412,64.6107921928817,137.844760672704,114.949591280654,145.969645868465,129.93085787452,110.017912772586,110.678700361011,125.31099656352,113.614973262032
41,"Himachal Pradesh",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8141025641026,63.4762773722628,48.7796373779637,67.5966514459665,70.3569182389937,80.609409190372,76.1571618037135,81.2592898431049,77.0506186726659,78.5369047619048,72.3597807685983
42,"Himachal Pradesh",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0434782608696,40.4754098360656,42.3741496598639,45.1418439716312,60.0222222222222,55.3093525179856,49.6929133858268,48.5869565217391,43.5531914893617,44.1967213114754,41.3844312168254
43,"Jammu & Kashmir",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.633333333333,136.122448979592,121.894736842105,125.154929577465,113.30487804878,127.51724137931,125.797752808989
44,"Jammu & Kashmir",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.8153846153846,102.335227272727,96.6363636363636,109.815602836879,108.679245283019,118.853658536585,125.032786885246
45,"Jammu & Kashmir",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"Jharkhand",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.525316455696,147.932352941176,152.286956521739,160.19587628866,164.507598784195,189.342776203966,206.710457142857,197.944134078212,176.076433121019,131.580213903743,177.806451612903,162.670411985019
47,"Jharkhand",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.28125,119.75,139.3125,114.742424242424,150.225,173.428571428571,156.847328244275,166.831683168317,166.911917098446,145.668499999692,123.942528735632,153.93984962406
48,"Jharkhand",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"Karnataka",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.8214624505929,53.5128644939966,63.4381084840056,70.6326797385621,77.1146907216495,73.0638930163447,0,79.099358974359,100.854261603375,84.620867768595,82.1151936444886,81.1019876182111
50,"Karnataka",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.6354325259516,90.6282051282051,59.5349344978166,81.6149635036496,81.0138888888889,98.1909871244635,0,70.3778195488722,85.5327680798005,79.7632058287796,93.2755388940956,95.1053921946322
51,"Karnataka",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5566666666667,56.2079207920792,65.8875,67.5476190476191,66.1442307692308,60.9176470588235,0,47.4805194805195,68.1537593984963,82.6284584980237,81.1115241635688,107.832599118943
52,"Kerala",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.9020618556701,78.105180533752,50.4018567639257,44.0362844702467,47.3699015471167,39.7024402487064,38.997191011236,57.6293766011956,58.4696428571429,51.3634812286519,44.0828351836038
53,"Kerala",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.181598062954,56.8938906752412,52.0095693779904,50.2361751152074,45.958686440678,45.0733211009083,44.4414690130069,53.7073170731707,53.7641791044776,51.9929951691812,47.6373134328358
54,"Kerala",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.3610185185185,51.7692307692308,42.0044843049327,46.9727272727273,42.7478260869565,45.5789473684211
55,"Lakshadweep",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"Lakshadweep",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
