,Population 2017,,,,
,,,,,
,,,,,
,Ranking,,Economy,(thousands),
,,,,,
SLB,166,,Solomon Islands,611,
LUX,167,,Luxembourg,599,
SUR,168,,Suriname,563,
CPV,169,,Cabo Verde,546,
MLT,170,,Malta,465,
MDV,171,,Maldives,436,
BRN,172,,Brunei Darussalam,429,
BHS,173,,"Bahamas, The",395,
BLZ,174,,Belize,375,
ISL,175,,Iceland,341,
BRB,176,,Barbados,286,
PYF,177,,French Polynesia,283,
NCL,178,,New Caledonia,280,
VUT,179,,Vanuatu,276,
STP,180,,São Tomé and Principe,204,
WSM,181,,Samoa,196,
LCA,182,,St. Lucia,179,
CHI,183,,Channel Islands,165,
GUM,184,,Guam,164,
CUW,185,,Curaçao,161,
KIR,186,,Kiribati,116,
VCT,187,,St. Vincent and the Grenadines,110,
TON,188,,Tonga,108,
GRD,189,,Grenada,108,
VIR,190,,Virgin Islands (U.S.),107,
FSM,191,,"Micronesia, Fed. Sts.",106,
ABW,192,,Aruba,105,
ATG,193,,Antigua and Barbuda,102,
SYC,194,,Seychelles,96,
IMN,195,,Isle of Man,84,
AND,196,,Andorra,77,
DMA,197,,Dominica,74,
BMU,198,,Bermuda,65,
CYM,199,,Cayman Islands,62,
GRL,200,,Greenland,56,
ASM,201,,American Samoa,56,
KNA,202,,St. Kitts and Nevis,55,
MNP,203,,Northern Mariana Islands,55,
MHL,204,,Marshall Islands,53,
FRO,205,,Faroe Islands,49,
SXM,206,,Sint Maarten (Dutch part),41,
MCO,207,,Monaco,39,
LIE,208,,Liechtenstein,38,
TCA,209,,Turks and Caicos Islands,35,
GIB,210,,Gibraltar,35,
SMR,211,,San Marino,33,
MAF,212,,St. Martin (French part),32,
VGB,213,,British Virgin Islands,31,
PLW,214,,Palau,22,
NRU,215,,Nauru,14,
TUV,216,,Tuvalu,11,
,,,,,
ERI ,,,Eritrea,..,
,,,,,
WLD,,,World,"7,530,360",
,,,,,
EAS,,,East Asia & Pacific,"2,314,365",
ECS,,,Europe & Central Asia,"915,546",
LCN,,,Latin America & Caribbean,"644,138",
MEA,,,Middle East & North Africa,"444,322",
NAC,,,North America,"362,493",
SAS,,,South Asia,"1,788,389",
